,India GDP - Historical Data,India GDP - Historical Data,India GDP - Historical Data,India GDP - Historical Data
,Year,GDP in (Billion) $,Per Capita in rupees,Growth %
0,2021,3173.4,182160,8.95
1,2020,2667.69,154640,-6.6
2,2019,2831.55,165760,3.74
3,2018,2702.93,159840,6.45
4,2017,2651.47,158480,6.8
5,2016,2294.8,138640,8.26
6,2015,2103.59,128480,8
7,2014,2039.13,125920,7.41
8,2013,1856.72,116000,6.39
9,2012,1827.64,115520,5.46
10,2011,1823.05,116640,5.24
11,2010,1675.62,108640,8.5
12,2009,1341.89,88160,7.86
13,2008,1198.9,79920,3.09
14,2007,1216.74,82240,7.66
15,2006,940.26,64560,8.06
16,2005,820.38,57200,7.92
17,2004,709.15,50240,7.92
18,2003,607.7,43760,7.86
19,2002,514.94,37680,3.8
20,2001,485.44,36160,4.82
21,2000,468.39,35440,3.84
22,1999,458.82,35360,8.85
23,1998,421.35,33040,6.18
24,1997,415.87,33200,4.05
25,1996,392.9,32000,7.55
26,1995,360.28,29920,7.57
27,1994,327.28,27680,6.66
28,1993,279.3,24080,4.75
29,1992,288.21,25360,5.48
30,1991,270.11,24240,1.06
31,1990,320.98,29440,5.53
32,1989,296.04,27680,5.95
33,1988,296.59,28320,9.63
34,1987,279.03,27200,3.97
35,1986,248.99,24800,4.78
36,1985,232.51,23680,5.25
37,1984,212.16,22160,3.82
38,1983,218.26,23280,7.29
39,1982,200.72,21920,3.48
40,1981,193.49,21600,6.01
41,1980,186.33,21360,6.74
42,1979,152.99,17920,-5.24
43,1978,137.3,16480,5.71
44,1977,121.49,14880,7.25
45,1976,102.72,12880,1.66
46,1975,98.47,12640,9.15
47,1974,99.53,13040,1.19
48,1973,85.52,11520,3.3
49,1972,71.46,9840,-0.55
50,1971,67.35,9520,1.64
51,1970,62.42,8960,5.16
52,1969,58.45,8640,6.54
53,1968,53.09,8000,3.39
54,1967,50.13,7680,7.83
55,1966,45.87,7200,-0.06
56,1965,59.55,9520,-2.64
57,1964,56.48,9280,7.45
58,1963,48.42,8080,5.99
59,1962,42.16,7200,2.93
60,1961,39.23,6800,3.72
61,1960,37.03,6560,0
